;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Taiwan Oolong ;Dung Ding Organic;;už nebude, skladem cca200g;50;280;221;26,7;200;1080;860;25,6;500;2630;2100;25,3;;3200;170;10;655;1615;64,8;21,1
Taiwan Oolong ;Gaba oolong;;;50;350;221;58,4;200;1100;860;28;500;2650;2100;26,2;;3200;170;10;655;1615;105,9;36,9
Taiwan Oolong ;Gao Shan Jin Xuan;;;50;550;388;41,8;200;2000;1520;31,6;500;4690;3770;24,5;;5760;298;10;1167;2895;84,6;29,5
Taiwan Oolong ;Gui Fei ;;;50;360;262;37,5;200;1320;1020;29,5;500;3150;2510;25,5;;3820;201;10;779;1925;79,2;27,3
Taiwan Oolong ;Gui Hua ;;;50;280;198;41,5;200;990;760;30,3;500;2350;1860;26,4;;2830;152;10;581;1430;84,3;29,3
Taiwan Oolong ;Hong Shui;;;50;470;367;28,1;200;1820;1440;26,4;500;4380;3560;23,1;;5440;282;10;1103;2735;66,7;22
Taiwan Oolong ;Jin Xuan Nai Xiang - SYPANÝ;;nevkládat;50;300;225;33,4;250;1350;1080;25;500;2690;2140;25,8;;3250;173;10;828;1640;73,5;25
Taiwan Oolong ;Oriental Beauty;;sypaná (bude jen jedna + nas taiwan);40;390;271;44;100;860;670;28,4;250;2090;1630;28,3;;4950;208;10;510;1253;87,5;30,6
Taiwan Oolong ;Si Ji Chun;;;50;310;238;30,3;250;1470;1150;27,9;500;2850;2270;25,6;;3450;183;10;878;1740;69,4;23,3
Taiwan Oolong ;Mei Shan Jin Xuan;;;50;380;299;27,1;200;1480;1170;26,5;500;3630;2880;26,1;;4400;230;10;895;2215;65,3;21,4
Taiwan Oolong ;Jin Xuan Nai XIang - VAKUOVANÝ;;;50;350;203;72,5;250;1090;840;29,8;500;2130;1650;29,1;;2500;135;10;640;1265;159,3;42
Taiwan Oolong ;Ren Shen - Ženšen oolong;;;40;350;242;44,7;250;1850;1450;27,6;500;3600;2880;25;;4390;186;10;1113;2210;88,2;30,9
Taiwan Oolong ;Bao Zhong;;;50;300;208;44,3;200;1050;800;31,3;500;2490;1970;26,4;;3000;160;10;615;1515;87,5;30,7
Taiwan Oolong ;Bao Zhong Pinglin;;;50;320;241;32,8;200;1190;930;28;500;2890;2300;25,7;;3500;185;10;715;1765;73;24,7
Taiwan Oolong ;Son La Red - VIETNAM;;;50;360;260;38,5;200;1290;1010;27,8;500;3150;2490;26,6;;3800;200;10;775;1915;80;27,8
Taiwan Oolong ;Oriental Beauty ;;;50;440;273;61,2;100;750;540;38,9;250;1650;1320;25;;4000;210;10;415;1015;109,6;38
Taiwan Oolong ;Ali Shan;;už nebude, skladem asi 100g, resp bude, ale až prodame naše taiwany - neni to špatnej čaj, je levnej a dobrej.. ale nabidka je už moc velka;50;350;225;55,6;200;1200;870;38;500;2790;2140;30,4;;3250;173;10;665;1640;102,4;35,8
Ostatní;Dong Ding - Ming Rui Qing Xin;x;Alishan 1500 m.n.m.;50;550;270;103,8;100;990;530;86,8;300;2250;1490;51,1;;1600;90;10;175;495;511,2;51
Ostatní;Dong Ding - Lin Qing Xin;x;Sun Link Sea 1600 m.n.m.;30;350;273;28,3;100;1160;860;34,9;300;2790;2480;12,5;;2700;91;10;285;825;284,7;22
Ostatní;Dong Ding - Fang Qing Xin;x;Li Shan - Huagang 2100 m.n.m.;25;550;450;22,3;50;1100;890;23,6;150;2900;2570;12,9;;5600;150;10;295;855;266,7;18,2
Ostatní;Dong Pei - Ming Rui Qing Xin;x;Alishan 1500 m.n.m. Roasted 30%;40;390;294;32,7;100;975;710;37,4;300;2900;2030;42,9;;2200;98;10;235;675;298;24,7
Ostatní;Dong Pei - Wu Qing Xin;x;Fushou Shan 2100 m.n.m.;40;590;450;31,2;;;;;;;;;;3500;150;10;15;15;293,4;23,8
Ostatní;Gao Shan - Lin Qing Xin;x;Sun Link Sea 1700 m.n.m.;30;350;273;28,3;100;1160;860;34,9;300;2790;2480;12,5;;2700;91;10;285;825;284,7;22
Ostatní;Gao Shan - Fang Qing Xin;x;Li Shan - Huagang 2300 m.n.m.;25;550;450;22,3;50;1100;890;23,6;;;;;;5600;150;10;295;15;266,7;18,2
Ostatní;Gao Shan - Ming Rui Qing Xin;x;Alishan 1500 m.n.m.;50;490;300;63,4;100;950;590;61,1;300;2500;1670;49,8;;1800;100;10;195;555;390;38,8
Ostatní;Gao Shan - Ming Rui Qing Xin ;x;Alishan 1400 m.n.m. Roasted 15%;30;350;192;82,3;100;980;590;66,2;300;2500;1670;49,8;;1800;64;10;195;555;446,9;45,2
Ostatní;Gao Shan - Ming Rui Jin Xuan no. 12;x;Alishan 1500 m.n.m.;30;350;228;53,6;100;980;710;38,1;300;2700;2030;33,1;;2200;76;10;235;675;360,6;34,9
Ostatní;Gao Shan - Ming Rui Qing Yun no.20;x;Shan Lin Xi 1300 m.n.m.;50;550;360;52,8;100;1050;710;47,9;300;2800;2030;38;;2200;120;10;235;675;358,4;34,6
Ostatní;Gao Shan - Sheng Qing Xin;x;Fushou Shan 2500 m.n.m.;25;480;315;52,4;50;950;620;53,3;;;;;;3800;105;10;205;15;357,2;34,4
Ostatní;Gao Shan - Wu Qing Xin - Old Tree;x;Huagang Li Shan 2400 m.n.m.;25;480;414;16;50;920;810;13,6;150;2620;2340;12;;5100;138;10;270;780;247,9;13,8
Ostatní;Gao Shan - Wu Qing Xin;x;Fushou Shan 2100 m.n.m.;25;390;300;30;50;850;590;44,1;150;2450;1670;46,8;;3600;100;10;195;555;290;23,1
Ostatní;Gao Shan - Jiang Qing Xin;x;Li Shan - 1800 m.n.m.;150;2280;1740;31,1;;;;;;;;;;3800;580;10;15;15;293,2;23,7
Ostatní;Gui Fei - Sheng Qing Xin;x;Deer Valley - 800 m.n.m.;30;350;210;66,7;100;950;650;46,2;300;2700;1850;46;;2000;70;10;215;615;400;40
Ostatní;Hong Shui - Ming Rui Qing Xin;x;Alishan - 1500 m.n.m.;50;550;360;52,8;100;1050;710;47,9;300;2800;2030;38;;2200;120;10;235;675;358,4;34,6
Ostatní;Hong Pei - Aged - 2011 Shalixian;x;Yushan - 1500 m.n.m.;30;390;282;38,3;100;1450;890;63;;;;;;2800;94;10;295;15;314,9;27,7
Ostatní;Oriental Beauty - Youjie;x;Emei Lake - Competition Grade;30;590;462;27,8;60;1120;910;23,1;;;;;;4800;154;10;303;15;283,2;21,7
Ostatní;Oriental Beauty - Guo Quan Deng;x;Miaoli - Competition Grade;30;650;516;26;60;1250;1020;22,6;;;;;;5400;172;10;339;15;278;20,7
Ostatní;Oriental Beauty - Guo Quan Deng;x;Miaoli - Grade A;30;450;318;41,6;60;850;630;35;;;;;;3200;106;10;207;15;324,6;29,4
Čínské Červené ;Yunnan FOP;;;50;150;82;83;200;450;300;50;500;950;710;33,9;;1050;63;10;225;540;138,1;45,4
